id,Ground Truth,OCR Text,CER
1,AURIOL or The Elixir of Life William Harrison Ainsworth With Illustrations by H.,BUNIVERSITY OF OXFORD This book is part of the collection held by the Band scanned by Gor the Gith bodluk/dbooks hra Creative Commons Attribu H.,0.7116564417177914
2,K.,K.,0.0
3,Browne Prologue 1599 Dr.,BAowwew Prologue—1599. DR.,0.5652173913043478
4,LAMB The Sixteenth Century drew to a close.,LAMB. Tue Sixteenth Century drew to a close.,0.045454545454545456
5,"It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.","It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.",0.0
6,The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
7,"Myriads of stars paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.","Myriads of start paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light issuing from the north traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, corascations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.010178117048346057
8,"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.","A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.",0.0
9,"The water lay in thick congealed masses around the conduits and wells, and the buckets were frozen on their stands.","The water lay in thick gongealed masses around the conduits and wells, and the buckets were frozen on their stands.",0.008695652173913044
10,"The thoroughfares were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.","The thoroughfares were sheeted with ice, and dangerous to horsemen and vehicles ; but the footways were firm and pleasant to the tread.",0.007407407407407408
11,"Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collected, roasting fragments of meat stuck upon iron prongs, or quaffing deep draughts of metheglin and ale out of leathern cups.","Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collected, roasting fragments of meat stuck upon iron prongs ; or quaffing deep draghts of metheglin and ale, out of leathern cups.",0.017391304347826087
12,"Crowds were collected in the open places, watching the wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the beholders thought the signs portended the speedy death of the queen, and the advent of a new monarch from the north—a safe and easy interpretation, considering the advanced age and declining health of the illustrious Elizabeth, together with the known appointment of her successor, James of Scotland.","Crowds were collected in the open places, watching the wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the beholders thought the signs portended the speedy death of the queen, and the advent of a new monarch from the north—a safe and easy interpretation, considering the advanced age and declining health of the illustrious Elizabeth, together with the known appointment of her successor, James of Scotland.",0.0
13,"Notwithstanding the early habits of the times, few persons had retired to rest, an universal wish prevailing among the citizens to see the new year in, and welcome the century accompanying it.","Notwithstanding the early habits of the times, few persons had retired to rest, an universal wish prevailing among the citizens to sce the new year in, and welcome the century accompanying it.",0.005208333333333333
14,"Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street, and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","Lights glimmered in most windows, revealing the holly-sprigs and laurcl-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street; and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthfal sports—fox-i'-th’hole, blind-man’s-buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.",0.014150943396226415
15,"Music and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing huge brown bowls dressed with ribands and rosemary, and filled with a drink called “lamb’s-wool,” composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it—a draught from which seldom brought its pretty bearers less than a groat, and occasionally a more valuable coin.","Mnsic and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing kage brown bowls dressed with ribands and rosemary, and filled with a drink called “Jamb’s-wool,” composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it,—a draught from which seldom brought its pretty bearers less than a groat, and occasion= ally a more valuable coin.",0.014830508474576272
16,Such was the vigil of the year sixteen hundred.,Such was the vigil of the year Sixteen Hundred.,0.0425531914893617
17,"On this night, and at the tenth hour, a man of striking and venerable appearance was seen to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southern extremity of London Bridge.","On this night, and at the tenth hour, a man of striking and venerable appearance was secn to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southern extremity of London-bridge.",0.012
18,"The old man’s beard and hair were as white as snow—the former descending almost to his girdle; so were the thick, overhanging brows that shaded his still piercing eyes.",The old man’s beard and hair were as white as snow— the former descending almost to his girdle; so were the thick overhanging brows that shaded his still piercing eyes.,0.011834319526627219
