Contexte gauche,Chaîne,Transcription,Contexte droit
"alled ``lamb's-wool,",”,',' composed of sturdy
"l him, good Baldred,",”,',' he eried. @Th@ att
 commit tho offence.,”,',"' @It may be, doetor"
" @It may be, doetor,",”,',' replied Baldred; `
ermit their remo@al.,”,',"' @I know it,'' repl"
"mo@al.'' @I know it,",”,',' replied Doctor Lam
ha@@ been disturbel.,”,',' @They were tho hea
"of two rank papists,",”,',"' replied Bualdred, "
g against tha qucen.,”,',' e But their names?
' e But their names?,”,',' demanded the docto
"wero father and son,",”,',' replied Baldred ;-
"erity, a fair youth,",”,',"' rcplie1 Daldrcd, l"
"era ar@ his tablets,",”,',"' ho adled, taking a"
others-Auriol Darey.,”,',"' @I sce it all,'' c"
"ey.'' @I sce it all,",”,',' cried Lamb. @It wa
"espatch, I pray you.",”,',' As the gatekceper 
"which you smoto lim,",”,',"' ericd Doctor Lamb,"
 be spcelily abated.,”,',' eI k@ow your worsh
" accomplish @onlers,",”,',"' oried @aldred, tlr"
 as gently as I can.,”,',' And as tle alclemn
"s all over with lim,",”,',' mnrmured the gatek
ions with the levil.,”,', Whilo Baldred was r
nish me at onco -Oh@,”,', And overeome by ang
"ot touched yon, sir,",”,',' replied Baldred. e
"e wiped the hallerd,",”,',' he added to limsel
"hirurgeon in London,",”,',' replied Buldred. @
ly heal your wounds.,”,',"' e Do not delay, th"
" Do not delay, then,",”,',"' repliel A@riol, fs"
is ebbing fast away.,”,',' e Press this hnndk
"ide, nnd lean on mo,",”,',' DB. LAMD. said Bul
"I ever heard of lim,",”,'," replied Auriol, fui"
". @Ay, marry laro I,",”,',"' replied the dwarl,"
n smearedl it again.,”,',' @Whereby you put t
"t to exquisite pain,",”,',' replied Baldred; `
m to the laboratory.,”,',' eI know not if tho
"are to be disturbod,",”,',' said Flapdragon. @
n a grand operation.,”,',' @I will tako the r
" the risk on myself,",”,',' said Baldred. @Tha
"d ag@inst the chair,",”,',"' he eried, hastily,"
uble. I am busy now.,”,',"' @Theso relics, doc"
"heso relics, doctor,",”,',' criedi the gatekee
e them back with me.,”,',' IIeed them not-the
" snfe in my kceping,",”,',"' cried Doctor Lamb,"
to-morrow-to-morrow.,”,',' Casting a furtire 
"es, '` the Malachim,",”,',' and ` the Passing 
assing of the River.,”,',' One of these scrol
"rapture. `At length,",”,',' he exclaimed aloud
riarch ever enjoyed.,”,',' Whils thns speakin
"on all my happiness,",”,',' he continued; ` I 
"ion is vnin, doctor,",”,',' snid Auriol. @I ha
ed the olixir vit@@.,”,',' e Fancy I have dis
 boly against deeay.,”,',' @The man who broug
"yon were my kiusman,",”,',' said Auriol. @Is i
"Is it so t'' @It is,",”,',' re@lied the doctor
" that ghastly relic,",”,',"' he added, pointing"
re brought together.,”,',' @Gracious Heaven''
 to avoid the stake.,”,',' e It is true that 
"e I bear at present,",”,',' replied the old mn
iated by repentance.,”,',' @Were they deeds o
"Auriol. @One was so,",”,',"' replied Darey, wit"
"@ed than acted upon,",”,',' pursued Darey. ` I
ition of the elixir.,”,',' @When did you rega
"nriously. @To-night,",”,',' replied Darcy-`` w
"@ad brought with me,",”,',' pursued Darey. @Fe
purchase it from me.,”,',' Auriol gazed earne
"etivity as yourself,",”,',' continued Darey. s
"cicnee was burdened,",”,',' remarked Auriol. @
 mentioned ]but one.,”,',' @The other was not
"at I havo described,",”,',"' ]replied Darcy, in"
" ser@e as a warning,",”,',' said Auriol. ee Wh
f it on somo animal.,”,',' e No-no; it is tho
" is tho true elixir,",”,',' replied Darey. @No
han I was at twenty.,”,',"' @MIenantime, I bes"
" me somo assistance,",”,',"' groaned Auriol, @o"
re beforo your eyes.,”,',"' @Be not afraid,'' "
"s.'' @Be not afraid,",”,',' replicd Darey; `yo
nl perfect reeo@ery.,”,',"' @Drink, then, to i"
" what stays my hand,",”,',"' said the old man, "
"mo the potion, then,",”,',' eried Auriol. e No
"l. e Not for worl@s,",”,',"' rejoined Dar@e, hu"
"am too weak to stir,",”,',' groaned Auriol. e 
delayed it too long.,”,',"' e Oh, HIea@ensl we"
"e shall both perish,",”,',"' slricked Dar@e, va"
"worth, the straggle,",”,',"' cried Auriol. And,"
he potion; `` no-no.,”,',"' And, supporting hi"
"undred years henese,",”,',"' he thonght, `` and"
"peril to be avoided,",”,',' he tho@ght;`` @@oE
his place fevers ma.,”,',"'] With this, he lef"
"for myself, Sandman,",”,',' replied the other;
at wos one o'clock ?,”,',' said the Sandman. 
"ndman. @Thereabouts,",”,',' replied the other.
"o hisself, I s'pose,",”,',' answered the Tinke
see no one vith him.,”,',' @Do you think he's
" 1 no-that he ain't,",”,',' returned the Tinke
"'s no reason at all,",”,',' snid the Sandman. 
 on as you mentions.,”,',' @As to that I can'
"to that I can't say,",”,',' replied the Tinker
 as ve're consarned.,”,',"' @De@il a bit,'' re"
"ned.'' @De@il a bit,",”,',' rejoined the Sandm
nt sort of customer.,”,',"' @Vell, you'll find"
" msy depend upon it,",”,',' replied the Tinker
 ould vimen's tales.,”,',' With tlis they eme
"called `in Chancery,",”,',' and shared the fat
"feel drawsy, Tinker,",”,',"' he remarked, stret"
our sperrit appears.,”,',' Thoe Tinker replie
" and you@ll soa him,",”,',' replied the other.
"alkin' in his sleep,",”,',' mnttered the Sandm
 some von unwisible.,”,',' @Hush-hushl'' whis
"un cold to hear him,",”,',' whispered] the San
. I will follow yon.,”,',' And he moved slowl
"' through that door,",”,',' crioed the Tinker.
. @Let'a foller him.,”,',' e I don't half lik
" don't half like it,",”,',' replied tha Sandma
"elow, and strip him.",”,',"' ``Agreed,'' replie"
"rip him.'' ``Agreed,",”,',' replied tho Tinker
 got in his pockets.,”,',"' @@ith all my 'art,"
"' @@ith all my 'art,",”,',' replied the Sandma
d chance to pcep in.,”,',' @Shnll wo strip hi
ogs the cnll has on.,”,',' @Do you vant to ha
" @s scragged, fool ?",”,',' crioed tha Band@an
 skull ain't broken.,”,', @It is to be hoped 
"t, Mr. Thorneyeroft,",”,',' rcplied the foremo
ung gentleman along.,”,',' Preceled by Mr. Th
" in that way, Peggy,",”,',' cried Mr. Thorneye
urbed for the world.,”,',"' With this, he snat"
"Oh, pretty midllin',",”,',' replied the Sand@a
"ompnnions. 'And now,",”,',"' said tha Sandman, "
ortun' has gi@en us.,”,',"' So saying, he uncl"
"ot into the bargain,",”,',"' eried the Sandman,"
 undertaken the job.,”,',' e Don't let's gi@e
"up in sich an 'urry,",”,',' replied the Tinker
ok o@er them papers.,”,',' @Look 'em over you
"k 'em over yourself,",”,',' rejoined tha Sandm
"27' @Vy, this is it,",”,',' replied the Tinker
"y, hangi@' secrets@,",”,',' replied the Tinker
 crimes i' that way.,”,',' @He didn't expect 
"uall into our hands,",”,',' said the Tinker. @
". @Werry likely not,",”,',' replied the Sandma
"bus'ness altog@ther,",”,',' replied tho Tinker
"enty at the outside,",”,',' replied the Sandma
" be nearer the mark,",”,',' replied the Tinker
as far back as that.,”,',' e Five-an'-sixty d
"l clenr an' reg'lar,",”,',' rejoined the other
" his granddad, then,",”,',' said the Sandman; 
ey can refer to him.,”,',' e But I tell 'ee t
"hey do refer to him,",”,',"' said the Tinker, s"
o buy 'eP ] from us.,”,',' @That's a@view o' 
"n Old Bailey lawyer,",”,',' replied thoe Sandm
"d is A@@no. Danor@@,",”,',' replied the Tinker
"That's unlucky agin,",”,',' said the Sandman. 
", as I can percei@e,",”,',' said the Tinker. @
"erc ve started from,",”,',' cried the Sandman.
s done lis bus'ness.,”,',' @Nu@Hin' o' th@ ki
"Nu@Hin' o' th@ kind,",”,',' replied the Tinker
ry kind of accident.,”,',' 4 Al@ays reco@ers 
hundrel years henco.,”,',"' % Oh, he's a lu-na"
f I ain't cured him.,”,',' t Tm of a differen
"a different opinion,",”,',' said the Tinker. @
"inker. @And so am I,",”,',"' said Mr. Ginger, w"
". @I only know this,",”,',"' replied Ginger, ``"
"Vell, I@m agreeable,",”,',' said the Sandman. 
"dman. t Anl so am I,",”,',' added tue Tinker. 
"adin' in his pspers,",”,',' pur@suel Ginger; `
"oeh 2"""" @Exaetly so,",”,',' replicd thc Tinker
"r. @A desperato lot,",”,',' replied the Tinker
"papers at any price,",”,',' ]said Ginger. AVe@
or its restitootion.,”,',' e We must find him
" find him out first,",”,',' said the Sandman. 
" difficulty in that,",”,',' rejoined Ginger. @
 some time or other.,”,',"' @That's true,'' re"
"her.'' @That's true,",”,',' repliod the Sandma
"e hend,' :Arter all,",”,',"' aaid the Tinker, '"
 dog-fancier myself@,”,', @It's a good busine
"t's a good business,",”,',"' replied Ginger, '`"
nt that werry night.,”,', @Ha 1-ha 1-ha I'' l
 her dog safe there.,”,',"' @Oh1t Miss Bailey,"
"Lor' bless 'ee, yes,",”,',' replied Ginger; @t
r Billinsgit market.,”,',' e Then you're alva
"eady markot somehow,",”,',' obser@ed the Sandm
to a desd certainty.,”,',' @That seems hard o
"at seems hard on us,",”,',' observed tho Sandm
 deli@ered up to us.,”,',' IThe law seems mad
"de for dog-fanciers,",”,',' remarked tha Tinko
"is gi@cn to cruelty,",”,',"' pursucd Ginger, ``"
as so@o on 'em doos.,”,',' @And you're nlways
"t@l Tinker. @Al@ays,",”,',' replied CGingcr. @
rter me at a gallop.,”,', @And do respectablo
"er. 'Ay, to be sure,",”,',' replied Ginger; ` 
vay to our customer.,”,',' @Oh. t@atas how it
@atas how it's done?,”,',' remarkcd tle Sanum
"Yes, thnt's the vay,",”,',' replied Ginger. @S
 arranges our plans.,”,',"' @Vell, yourn appea"
"loyment, I must say,",”,',' remarked thce Sand
"dman. @Perfectly so,",”,',' renlied Ginger. @N
't occur in my time.,”,',"' @Let's hopo not,''"
".'' @Let's hopo not,",”,',' r@joined thoe otle
"rom vich we started,",”,',' eaid thce Tinker ;
 occurred yesterday.,”,',' @Walkler I'' excla
"larf, but it's true,",”,',' replied the Tinker
