gold_sent,ocr_sent,CER
The Sixteenth Century drew to a close.,TuE Sixteenth Century drew to a close.,0.05263157894736842
"It was the last day of the last year, and two hours      only were wanting to the birth of another year and of another century.","It was the lsst day of tho last year, and two hours anly were wanting to the birth of another year and of anothaor century.",0.07874015748031496
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the      crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering      light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while      from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and      variety of hue the most brilliant discharge of fireworks.","Myriads of stan paed the deep vnult of heaen; the crescent moon hung like a silver lamp in the milst of them; a stream of rosy and quivrering light issuing from the north trarersed th sky, like the tail of some stupendous coet; whilo from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.07990314769975787
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow      aggravated the wholesome rigour of the season.","A sharp frost preailed; but the atmosphere was clear and dry, and neither wind nor snow aggraated the wholesome rigour of tho season.",0.05714285714285714
"The water lay in thick congealed masses around      the conduits and wells, and the buckets were frozen on their stands.","Tho water lay in thick congealed masses around the conduits and wells, and tho buekets weroe frozen on thcir stands.",0.08333333333333333
"The thoroughfares were      sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and      pleasant to the tread.","were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.",0.19444444444444445
"Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants      were collected, roasting fragments of meat stuck upon iron prongs, or quaffing deep draughts of      metheglin and ale out of leathern cups.","Hero and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collocted, ronsting fragments of meat stuck upon iron prongs; or qunffing deep draghts of metleglin and ale, out of lenathern cups Crowls were collected in the open places, watching the wonders in tha heaens, and drawing augurics from thcm, chiefly sinister, for most of the bcholders thought the signs portended the speely death of the queen, and the alvent of a new monarch from the north-a safo and easy interpretation, considering the adancet age and declining health of the illustrious Elizabecth, togcther with the knon appointment of her successor, Jamcs of fScotland.",1.9075630252100841
"Crowds were collected in the open places, watching the      wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the      beholders thought the signs portended the speedy death of the queen, and the advent of a new      monarch from the north—a safe and easy interpretation, considering the advanced age and      declining health of the illustrious Elizabeth, together with the known appointment of her      successor, James of Scotland.","Lights glimmered in most windows, revealing the holly-sprigs and lanrel-leacs stuck thickly in thleir diamond panes; wlile, whenever as dor wus opened, n ruddy gleam burst across the strcet; and a glance inside the dwelling showed its inmates either gathered round tho glowing hearth, oecupicd in mirthful sports-fox-i'-th'hole, blind-nan's-buff, or shoe-the-marc-or seated at tho mple board grouning with Christmas checr.",0.7574468085106383
"Notwithstanding the early habits of the times, few persons had retired to rest, an universal      wish prevailing among the citizens to see the new year in, and welcome the century accompanying      it.","Notwithstanding the early halits of the times, few persons had retired to rcst, an uniersal wish prevailing among thc citizens to see the ncew year in, and welcome the centnry nccompanying it.",0.08415841584158416
"Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck      thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across      the street, and a glance inside the dwelling showed its inmates either gathered round the      glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or      shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","with ribands and rosemary, and filled with a drink called ``lamb's-wool,'' composed of sturdy ale, smeetenel with sugar, spiced with nutmeg, and haing toasts and burt erabs floating within it,-a dranght from which seldom brought its pretty bcarers less than a groat, and occasionally a more valuable eoin.",0.7364864864864865
"Music and singing were heard at every corner, and bands of comely damsels, escorted by their      sweethearts, went from house to house, bearing huge brown bowls dressed with ribands and      rosemary, and filled with a drink called “lamb’s-wool,” composed of sturdy ale, sweetened with      sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it—a draught from      which seldom brought its pretty bearers less than a groat, and occasionally a more valuable      coin.","with ribands and rosemary, and filled with a drink called ``lamb's-wool,'' composed of sturdy ale, smeetenel with sugar, spiced with nutmeg, and haing toasts and burt erabs floating within it,-a dranght from which seldom brought its pretty bcarers less than a groat, and occasionally a more valuable eoin.",0.4149797570850202
Such was the vigil of the year sixteen hundred.,Such wns the igil of thoe year Sixteen Hundred.,0.10638297872340426
"On this night, and at the tenth hour, a man of striking and venerable appearance was seen to      emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque      structure situated at the southern extremity of London Bridge.","On this night, and at the tenth hour, a man of striking and venerable appearanee wns sccn to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southcrn extremity of London-bridge.",0.06538461538461539
"The old man’s beard and hair were as white as snow—the former descending almost to his      girdle; so were the thick, overhanging brows that shaded his still piercing eyes.",The old man's bcard and air were as white as snowthe former descending almost to his girdle; so were th thick oerhanging brows thmt shaded lis still piercing eyes.,0.08092485549132948
"His forehead      was high, bald, and ploughed by innumerable wrinkles.","His forehead was high, bald, and ploughed by innumerable rinkles.",0.08450704225352113
"His countenance, despite its death-like      paleness, had a noble and majestic cast; and his figure, though worn to the bone by a life of      the severest study, and bent by the weight of years, must have been once lofty and commanding.","IIis countenance, despito its dentl-lika pualeness, had a noble and nsjestic cnst, ani his figure, though worn to the bone by as life of the seerest stnuy, nud bent by the woight of yenrs, must hase been once lofty and commauding.",0.13445378151260504
"His dress consisted of a doublet and hose of sad-coloured cloth, over which he wore a loose      gown of black silk.","His dress consisted of n doublet and hose of sad-coloured cloth, over which he wore a loose govn of blaek silk.",0.06896551724137931
"His head was covered by a square black cap, from beneath which his silver      locks strayed over his shoulders.","HIis head was coered by a square bluck cap, from eneath whieh his silser locks strayed oer his shoulders.",0.10714285714285714
"Known by the name of Doctor Lamb, and addicted to alchemical and philosophical pursuits, this      venerable personage was esteemed by the vulgar as little better than a wizard.","Inown by the name of Doctor Lamb, and addieted to alchemicnl and philosophical pursuits, this vrenerable personage was esteemed by the vulgar as little better than a wizard.",0.05084745762711865
Strange tales      were reported and believed of him.,Strange tales were reported and believed of him.,0.09433962264150944
"Amongst others, it was said that he possessed a familiar,      because he chanced to employ a deformed, crack-brained dwarf, who assisted him in his      operations, and whom he appropriately enough denominated Flapdragon.","Mmongst others, it was said that he possessed a familiar, because he chanced to employ a deformod, eraek-brained dwarf, who assisted him in his operations, and wlom he appopriately enongh denominated Flapdragon.",0.07657657657657657
"Doctor Lamb’s gaze was fixed intently upon the heavens, and he seamed to be noting the      position of the moon with reference to some particular star.","Having accomplished his olject, the mysterious plunlerer thrust his spoil into a leathern bag with hich he was provided, tied its mouth, and was about to take his departur by means of a rope-ladder attached to the battlements, when his retreat was suldenly cut off by the gutekeeper, armed with a halberd, and bearing a lantern, ho issued from a door opening upon the lcads.",1.875
"After remaining in this posture for a few minutes, he was about to retire, when a loud crash      arrested him, and he turned to see whence it proceeded.","Immeliately before him stood the Southwark Gateaya equare stons building, with a ronnd, embattlod turret at enach corner, and a flat, leaden roof, planted with a forest of poles, fifteen or sixteen feet high, garnished with human henls.",1.0980392156862746
