Contexte gauche,Chaîne,Contexte droit
"lled ``lamb's-wool,'",', composed of sturdy 
" him, good Baldred,'",', he eried. @Th@ atte
commit tho offence.','," @It may be, doetor,"
"@It may be, doetor,'",', replied Baldred; ``
rmit their remo@al.','," @I know it,'' repli"
"o@al.'' @I know it,'",', replied Doctor Lamb
a@@ been disturbel.',', @They were tho head
"f two rank papists,'",'," replied Bualdred, @"
 against tha qucen.',', e But their names?'
 e But their names?',', demanded the doctor
 were they called 7',', @They wero father a
"ero father and son,'",', replied Baldred ;-:
n to your worship 7',', e Too well-too well
Too well-too well 1',', repliel Doctor Lamb
"rity, a fair youth,'",'," rcplie1 Daldrcd, lo"
"ra ar@ his tablets,'",'," ho adled, taking a "
thers-Auriol Darey.','," @I sce it all,'' cr"
"y.'' @I sce it all,'",', cried Lamb. @It was
"spatch, I pray you.'",', As the gatekceper e
"hich you smoto lim,'",'," ericd Doctor Lamb, "
be spcelily abated.',', eI k@ow your worshi
"accomplish @onlers,'",'," oried @aldred, tlro"
as gently as I can.',', And as tle alclemni
" all over with lim,'",', mnrmured the gateke
"t touched yon, sir,'",', replied Baldred. e1
" wiped the hallerd,'",', he added to limself
a@o you done to me1','," ho asked, with a lo"
"most insupportable,'",', @You are cnred for 
"irurgeon in London,'",', replied Buldred. @I
y heal your wounds.','," e Do not delay, the"
"Do not delay, then,'",'," repliel A@riol, fsi"
s ebbing fast away.',', e Press this hnndke
"he is your kinsman,'",', @It is the first I 
"ch, Flapdragon, eh7'",'," cried Baldred. @Ay,"
" @Ay, marry laro I,'",'," replied the dwarl, "
 smearedl it again.',', @Whereby you put th
" to exquisite pain,'",', replied Baldred; ` 
 to the laboratory.',', eI know not if thoe
"re to be disturbod,'",', said Flapdragon. @H
 a grand operation.',', @I will tako the ri
"the risk on myself,'",', said Baldred. @Tha 
s fainted alrealy I','," Thus urged, the dwa"
" ag@inst the chair,'",'," he eried, hastily, "
ble. I am busy now.','," @Theso relics, doct"
"eso relics, doctor,'",', criedi the gatekee@
 them back with me.',', IIeed them not-they
"snfe in my kceping,'",'," cried Doctor Lamb, "
o-morrow-to-morrow.',', Casting a furtire g
d do next. @Degonel','," cried the doctor, s"
"s, '` the Malachim,'",', and ` the Passing o
ssing of the River.',', One of these scroll
"apture. `At length,'",', he exclaimed aloud-
iarch ever enjoyed.',', Whils thns speaking
 @To live for e@er1','," he cried, after a p"
1-where can it lie7',', And he relapsed int
"n all my happiness,'",', he continued; ` I s
 ueed be desiroed 7','," @Wwhat more, indeed"
"what more, indeed 1'",', cried Auriol. @Ha1'
 cried Auriol. @Ha1',', cxelaimed the docto
"on is vnin, doctor,'",', snid Auriol. @I hav
d the olixir vit@@.',', e Fancy I have disc
boly against deeay.',', @The man who brough
"on were my kiusman,'",', said Auriol. @Is it
Auriol. @Is it so t','," @It is,'' re@lied t"
"s it so t'' @It is,'",'," re@lied the doctor,"
"that ghastly relic,'",'," he added, pointing "
e brought together.',', @Gracious Heaven'' 
to avoid the stake.',', e It is true that I
" I bear at present,'",', replied the old mnn
ated by repentance.',', @Were they deeds of
hey deeds of @loodt',', asked Auriol. @One 
"uriol. @One was so,'",'," replied Darey, with"
possess it.@@ @HIa1','," exclaimed Auriol, s"
"ed than acted upon,'",', pursued Darey. ` In
tion of the elixir.',', @When did you regai
regain the secret 2','," asked Auriol, cnrio"
"riously. @To-night,'",', replied Darcy-`` wi
"ad brought with me,'",', pursued Darey. @Fea
urchase it from me.',', Auriol gazed earnes
"tivity as yourself,'",', continued Darey. s 
ready yonng sgain l',', @Yon spoke of two c
"icnee was burdened,'",', remarked Auriol. @Y
mentioned ]but one.',', @The other was not 
"t I havo described,'",'," ]replied Darcy, in "
"ser@e as a warning,'",', said Auriol. ee Wha
 it on somo animal.',', e No-no; it is tho 
"is tho true elixir,'",', replied Darey. @Not
an I was at twenty.','," @MIenantime, I besc"
"me somo assistance,'",'," groaned Auriol, @or"
e beforo your eyes.','," @Be not afraid,'' r"
".'' @Be not afraid,'",', replicd Darey; `yon
l perfect reeo@ery.','," @Drink, then, to it"
"what stays my hand,'",'," said the old man, r"
"o the potion, then,'",', eried Auriol. e Not
". e Not for worl@s,'",'," rejoined Dar@e, hug"
w for the trial-hal','," and, as he raised t"
. e WVhat is this 2','," he cried, staggerin"
roat-quickI @uick :',', @I am too weak to s
"m too weak to stir,'",', groaned Auriol. e Y
elayed it too long.','," e Oh, HIea@ensl we "
" shall both perish,'",'," slricked Dar@e, vai"
"sful shore in view,'",', And he sank backwar
. @Help me-help mel','," he screamed, fixing"
"orth, the straggle,'",'," cried Auriol. And, "
man. @Saved-saved 1',', shrieked Darcy. @Po
done this for you 7','," cried Auriol, snatc"
e potion; `` no-no.','," And, supporting him"
"ndred years henese,'",'," he thonght, `` and "
 to disclose them l',', As he ruminated thn
"eril to be avoided,'",', he tho@ght;`` @@oE]
"or myself, Sandman,'",', replied the other; 
t wos one o'clock ?',', said the Sandman. @
"dman. @Thereabouts,'",', replied the other. 
did he say that tot',', demanded tho Sandma
" hisself, I s'pose,'",', answered the Tinker
ee no one vith him.',', @Do you think he's 
of our perfession 7',', inquired the Sandma
"1 no-that he ain't,'",', returned the Tinker
"s no reason at all,'",', snid the Sandman. @
on as you mentions.',', @As to that I can't
"o that I can't say,'",', replied the Tinker;
as ve're consarned.','," @De@il a bit,'' rej"
"ed.'' @De@il a bit,'",', rejoined the Sandma
t sort of customer.','," @Vell, you'll find "
"msy depend upon it,'",', replied the Tinker.
ould vimen's tales.',', With tlis they emer
"alled `in Chancery,'",', and shared the fate
"eel drawsy, Tinker,'",'," he remarked, stretc"
ur sperrit appears.',', Thoe Tinker replied
ered--t He's here I',', TIE RDD OUBE TRE YA
9] here --- vhere t',', demanded the Sandma
"and you@ll soa him,'",', replied the other. 
"lkin' in his sleep,'",', mnttered the Sandma
some von unwisible.',', @Hush-hushl'' whisp
ible.'' @Hush-hushl',', whispered the other
"wot] he's a-sayin','",', @Why havre you brou
ou brought me here1',', cried the yo@ng man
"n cold to hear him,'",', whispered] the Sand
'ye think he sees 2',', @Why do you not spe
u not speak to me f',', cried the young man
 I will follow yon.',', And he moved slowly
" through that door,'",', crioed the Tinker. 
 @Let'a foller him.',', e I don't half like
"don't half like it,'",', replied tha Sandman
"ke aray our senses,'",', @Tut'' cried the Ti
are yon afeerd on 7',', With this he @aulte
"ow, then, Sandman l'",', cried the Tinker; `
 . Tho @ork@e donet',', eried the Sandman t
"low, and strip him.'",'," ``Agreed,'' replied"
"ip him.'' ``Agreed,'",', replied tho Tinker;
got in his pockets.','," @@ith all my 'art,'"
" @@ith all my 'art,'",', replied the Sandman
 chance to pcep in.',', @Shnll wo strip him
 wo strip him here1',', said the Tinker. @N
gs the cnll has on.',', @Do you vant to ha@
"@s scragged, fool ?'",'," crioed tha Band@an,"
"oist him down here,'",'," With this, ho place"
" % Here, watclmen ?'",', eried tho stout ind
", Mr. Thorneyeroft,'",', rcplied the foremos
"of any hatterosity,'",', e What a frightful 
I heard to be surel',', cried MIr. Thorneyc
ng gentleman along.',', Preceled by Mr. Tho
"in that way, Peggy,'",', cried Mr. Thorneyer
rbed for the world.','," With this, he snatc"
"h, pretty midllin','",', replied the Sand@an
"mpnnions. 'And now,'",'," said tha Sandman, n"
rtun' has gi@en us.','," So saying, he uncla"
"t into the bargain,'",'," eried the Sandman, "
undertaken the job.',', e Don't let's gi@e 
"p in sich an 'urry,'",', replied the Tinker;
k o@er them papers.',', @Look 'em over your
" 'em over yourself,'",', rejoined tha Sandma
 @Wot'a the matter2','," cried the Sandman, "
"Wot's t@l row, eh 27",'," @Vy, this is it,'' "
"7' @Vy, this is it,'",'," replied the Tinker,"
t Glad to hear it l','," said the Sandman, l"
seecrets are they 2','," @Vy, hangi@' secret"
", hangi@' secrets@,'",'," replied the Tinker,"
"d murder wholesale,'",', @Wholesale I'' echo
"ale,'' @Wholesale I'",'," echoed the Sandman,"
crimes i' that way.',', @He didn't expect t
"all into our hands,'",', said the Tinker. @W
" @Werry likely not,'",', replied the Sandman
med to be wound up.',', @Ou@m is a differen
"us'ness altog@ther,'",', replied tho Tinker.
you take him to be2','," @Vy, five-an'-twent"
"nty at the outside,'",', replied the Sandman
"be nearer the mark,'",', replied the Tinker.
s far back as that.',', e Five-an'-sixty de
e-an'-sixty devilsI',', ocried the Sandman;
"ho reckonin' there,'",'," @No, it's all clenr"
" clenr an' reg'lar,'",', rejoined the other;
"his granddad, then,'",', said the Sandman; `
y can refer to him.',', e But I tell 'ee th
"ey do refer to him,'",'," said the Tinker, so"
 buy 'eP ] from us.',', @That's a@view o' t
" Old Bailey lawyer,'",', replied thoe Sandma
the gemman's name 1',', e The name on the c
" is A@@no. Danor@@,'",', replied the Tinker.
ker. @Any address 7',', asked the Sandman. 
"hat's unlucky agin,'",'," said the Sandman. """
" as I can percei@e,'",', said the Tinker. @V
"rc ve started from,'",', cried the Sandman. 
 done lis bus'ness.',', @Nu@Hin' o' th@ kin
"u@Hin' o' th@ kind,'",', replied the Tinker.
y kind of accident.',', 4 Al@ays reco@ers I
4 Al@ays reco@ers I',', exelaimed tho Sandm
"otion he must have,'",', @Snrprisin' 1'' rep
"ve,'' @Snrprisin' 1'",', replied the Tinker;
undrel years henco.','," % Oh, he's a lu-nat"
", he's a lu-natticl'",', exelaimed the Sandm
 I ain't cured him.',', t Tm of a different
" different opinion,'",', said the Tinker. @A
"nker. @And so am I,'",'," said Mr. Ginger, wh"
"w about it, Ginger7'",'," ssid the Sandmsn, l"
" @I only know this,'",'," replied Ginger, `` "
" make summat of it,'",'," e Vell, I@m agreeab"
"ell, I@m agreeable,'",', said the Sandman. t
"man. t Anl so am I,'",', added tue Tinker. @
"din' in his pspers,'",', pur@suel Ginger; ``
"eh 2"""" @Exaetly so,'",', replicd thc Tinker.
". @A desperato lot,'",', replied the Tinker.
"apers at any price,'",', ]said Ginger. AVe@l
r its restitootion.',', e We must find him 
"find him out first,'",', said the Sandman. @
"difficulty in that,'",', rejoined Ginger. @Y
some time or other.','," @That's true,'' rep"
"er.'' @That's true,'",', repliod the Sandman
liod the Sandman ; `,',and there's no feur 
" hend,' :Arter all,'",'," aaid the Tinker, ''"
"'s a good business,'",'," replied Ginger, '` "
t.' @Ha 1-ha 1-ha I',', laughed the others.
her dog safe there.','," @Oh1t Miss Bailey, "
tinate Miss Bailcyl',', sang the Tinker. @B
"ance, ain't thore 7'",', asked tho Sandman. 
"or' bless 'ee, yes,'",', replied Ginger; @th
 Billinsgit market.',', e Then you're alvay
